Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,1363755808.7800744,1522141309.4266517,1648407753.3629057,1810796506.0781267,2001192969.521057,2095198123.0646772,2158860035.86186,2350843654.799028,2424658721.34454,2489269129.82878,2739557506.265639,2918819032.7367725,2935918444.3107047,3027419281.4945583,3335031914.002727,3426372647.3339553,3572323466.893373,3782481063.48052,3925705760.823513,3489264744.4360967,3434705049.904982,3624109935.920493,3552128685.8342805,3799583106.752305,3817112401.268245,3893364333.81628,3941567670.0268817,4097906578.1049438,4248976006.1902723,4234776343.135949,3329266442.1603637,
Africa Eastern and Southern,561920280331.2887,581615642052.1737,583711839016.8634,596640286506.9191,621098773528.955,662419632492.8938,711699828167.0295,755301526066.0009,777983723929.695,811240880381.2002,858473000125.8771,910141999383.1285,960556000398.0969,1011535265434.2816,1097275385752.126,1202162071701.8376,1321799630798.9832,1449015999182.998,1544602291964.6624,1568093236698.233,1668440419260.7544,1770508552601.6316,1772679556278.1418,1893539310651.8909,2025475830797.93,2098349127423.9082,2212682940327.2715,2299420108579.9277,2418684593444.305,2517975293215.7075,2478218029367.2188,2696406736371.8486
Afghanistan,,,,,,,,,,,,,19805683002.213234,21980384805.714413,22889600503.96499,26258419343.913715,28518821097.82152,33339216566.71781,35312296534.14494,43140533617.62194,49929490244.54781,51184181904.42891,59667003515.196236,65039839448.55606,69058343420.1602,71831696727.8086,70097956089.28766,74711922906.37384,77406520332.61885,81873098235.48892,80911742458.68983,
Africa Western and Central,354292026911.9732,370718366510.069,388855999056.7931,393736682679.6008,401441488488.92444,418478404527.9726,446091574415.75574,473398888966.2286,495947196003.5626,510683005998.68146,541135075847.84985,582332978775.7322,647416465795.9983,696588119784.7117,772217475563.4976,842972201142.4513,915359210537.9021,991036479039.8152,1072886215179.1172,1145424303318.1858,1238352781749.1194,1324190379112.3684,1396676545559.7827,1526772041499.301,1645121615924.7903,1662297007354.538,1678673573433.6902,1744086797034.3154,1841595260137.8118,1937544648225.5442,1946025265851.9172,2107258645948.114
Angola,38665241764.81702,40369082197.805016,38878486297.06663,30254629086.92962,31314566201.750195,36766881813.08464,42511093340.38118,46389868661.91562,49112712707.1375,50891312281.95029,53634036387.5119,57149055625.10433,65971272039.64107,69284751704.30748,78934974922.82545,93646195456.4088,107685602885.87592,126090311395.77376,142863054035.4509,145015238721.8841,153890459472.5994,162538811659.18054,186124222897.17267,199865642365.19968,220364785384.76614,204603587403.34988,204874675222.88013,217987313632.15698,220257110789.11682,222627505703.57935,212918601685.59622,223318519926.12097
Albania,8379725523.574648,6237252125.20748,5920899420.595967,6640664191.630655,7345609987.669158,8498767193.995672,9441925138.859777,8555908065.784593,9451419206.028763,10792624922.343834,11926129734.708477,13157356089.93255,14221986237.472326,15198230044.73571,16429415677.426392,17663280434.36425,19650777816.552933,21631651452.041428,24251525378.446243,25800311194.06032,28048669277.821266,29655555314.737106,30530372661.723194,30603912535.834534,32529194811.095375,33585844099.858753,34739972822.82304,36696816738.73934,38690739287.01999,39957029903.09649,38686086930.78947,43991442983.779465
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,1504820307538.0676,1673744567767.2622,1797507029557.0066,1892993068714.2585,1988914853626.771,2085119153199.2385,2219938962163.5186,2358493131056.304,2517223587072.6816,2604323321664.0884,2841847808805.158,2952977845658.521,3008317810060.34,3195371605404.453,3582890160517.5166,3895568375412.6294,4246977444544.2534,4551767273540.282,4899385233843.783,4951241594147.81,5246827652492.438,5552066014346.652,6011609562526.598,6126045457975.613,6156237792506.487,5670242108188.599,5601524083397.051,5923238740187.416,6222891021572.725,6441502912796.267,6222533336508.786,6723378239058.225
United Arab Emirates,159314787213.81775,166119009337.56696,175587931541.926,182016952056.1153,198723986396.0522,216460152920.38495,233204512135.00336,256655715879.79044,260302316084.00146,271631571824.845,307932754814.621,319275636772.7027,332142171595.3295,368504523746.28455,414595768287.6988,448357188723.43146,507658889395.61053,537981231665.7981,565800168713.2792,539572094911.9824,554809096073.5289,605575110378.6012,631707145358.9275,647295696512.2278,678339456953.1533,601179174690.9567,598811314916.1964,637384703420.7928,660377032847.7576,695121297230.4072,660342979810.3745,
Argentina,234455344931.54333,264521270370.09323,292023773373.28265,323480141867.0879,349669909411.9171,346844681084.36053,372715304230.9142,409894951069.8981,430467771287.1807,421755390917.53986,427907425395.3812,418257187040.51575,378498715336.1674,420076980476.6963,470302946671.59827,527985868655.9303,588076130259.0736,658372466794.5361,698223627731.0216,661109513023.2784,736799121185.7048,797263881242.0366,819697901873.0405,849616000404.3167,839896688260.0858,867176759338.2622,885227528869.0488,1039330591568.5388,1036307018234.461,1033473164885.8896,942431459963.083,1082341327502.3053
Armenia,9803860531.55248,8949561636.989498,5327344967.036134,4973702540.02406,5354227561.344669,5843688839.168526,6299716421.150135,6621177138.165372,7184486827.466629,7526162157.251319,8150774534.89384,9134510731.771837,10501422441.810741,12207893425.624443,13851841423.63041,16271994101.843857,18988258531.029736,22173115976.099415,24157669801.81074,20884445685.849815,21600412735.669144,23085520248.370056,27009096448.544163,28500152360.14414,29231468082.41898,29166842740.53971,31429192104.404198,35676528915.43634,38428345021.379715,42088513415.31318,39443691148.18976,43424437526.12056
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,724220082.8073982,765007773.0106847,791506006.10086,853048521.5529766,929436515.5207144,907556623.8020059,985210373.34686,1057036090.5643437,1119505957.12058,1177374335.441006,1278740621.5823922,1248082617.4186878,1280557556.9409459,1385180000.9963474,1504392016.5060182,1652012940.453737,1919405308.80158,2154909822.6059084,2195924593.6668615,1945623929.72819,1814624472.65424,1816047262.1208308,1771798543.1074157,1720170788.9208717,1762288334.8049371,1769549897.4195402,1882863521.889544,1893259104.1069272,2071927908.9807994,2211532821.1882057,1786243972.3642826,1958531523.1831512
Australia,296371478762.32355,308043662757.5729,318664389750.262,338491267934.4716,358779336153.1205,378130489660.551,403005180162.1516,425381557676.04266,453005215189.0554,478757083927.67645,504548948084.34845,532689376829.1791,565345793833.1001,593030336171.961,632150539681.3309,665959595377.5544,711378945253.441,762287051079.7074,796834909433.1382,873780713946.532,866655535725.3328,938351559046.2803,973825980527.4282,1061730067174.6632,1100561174645.7288,1101456818288.23,1143148737101.3877,1190694343959.2354,1253361153370.8787,1312636660762.9668,1369884973053.418,1436442088452.9934
Austria,149426293193.35327,159796148361.34143,166859341278.43524,171714389063.40698,179594119848.03745,188251944516.3945,195424431040.7955,202601126779.9172,212781190836.65036,220639956878.73007,235347920936.0746,238878600644.7364,251984858807.04205,261056984714.60355,275998555936.9441,288086851811.7466,311415088416.1372,327096105756.9925,343812802542.99976,341393192854.12054,351341906220.6865,373031463577.16266,391635006784.2605,406370494341.22754,417059741085.6576,430975998137.23615,460282766423.2705,476590426691.8191,503556884412.5265,515713331248.95404,496544223813.7177,523292952670.55817
Azerbaijan,37694530103.616394,38696484278.85704,30633636929.685894,24115654422.493404,19778392232.0172,17810336856.03597,18372211992.48649,19772991830.612206,21995097661.611366,23955634496.470753,27217678656.458523,30586137071.2623,33994826285.469604,38204531284.43436,42860372196.701744,56564627673.06056,78426917948.49295,100683032684.43141,113654290594.67291,125016200872.44435,132906490790.58768,135803575412.21178,148339507564.9771,161864879226.65582,166328757240.2921,144145726475.6873,140229738154.492,139152809949.42816,144614343523.11902,150881109878.6341,146133499194.86612,160729472760.50204
Burundi,3341667975.187517,3627299688.610412,3747433157.4047594,3596877422.103976,3532983821.9222054,3321387280.04229,3111624748.901872,3114954587.514857,3299640117.970272,3312343716.229615,3358361145.1883993,3504620319.433666,3717503265.9358277,3744481925.8038034,4030853197.4007087,4194668945.0549755,4558197311.107579,4842982949.285164,5175835858.014681,5407617015.849779,5753030235.606558,6109378663.946352,6386185330.893099,7069149933.912952,7649427870.695947,8550074537.532248,8358351140.304979,8375481076.559196,8713633406.758312,9030260918.947138,9168995940.715242,9721452801.874342
Belgium,186170807521.39746,195994875686.7339,203529748884.84512,206350004389.93784,217557501355.00192,227416383686.9724,230946171106.60376,241624078147.23767,248636221287.11127,260168701709.77982,284826588632.1066,296130423579.75867,312900377877.01825,320963391708.60376,334133752698.8966,347658412088.9718,371912420547.9092,390932258442.52325,405729462246.5222,407562315465.05743,434081107185.0361,451932718764.3871,469720618339.76575,487343797679.3861,503619406808.6787,520878052195.1305,550677647305.8612,573788797293.5676,600322935463.7968,623603330829.7357,612655349801.1415,682884736301.4232
Benin,6263872718.588328,6749352134.034579,7107339440.105723,7700436168.301797,8023775039.516803,8687249860.012203,9228850210.884176,9926367674.353935,10435702280.200941,11148038682.59534,12068417543.771208,12998438893.210129,13813951246.47086,14571665604.733831,15625634673.906815,16391714299.040207,17563887278.88981,19118406973.838604,20439187423.081604,21047276239.842506,21750521094.34366,22860459982.96453,24308499989.208206,26709146743.022137,29146860808.54739,30530995255.411354,32668486802.0226,34023063767.86465,37168927633.85777,40431322636.85908,42493487504.11071,47180359905.7268
Burkina Faso,5192367141.731115,5854833811.43012,6002195549.482741,6357151655.818141,6578285936.449337,7100150653.353395,8026534869.024733,8680713154.73274,9419919590.963934,10259110711.993935,10689665669.050615,11653376975.815989,12350171718.447613,13576554041.933098,14565345348.647154,16323283254.901659,17879168698.50388,19117304116.11972,20614029336.44871,21360646876.875305,23443220212.812965,25515102554.621037,26835475975.05161,28735314121.18228,29760893893.853687,31032905189.77433,35340335154.5367,39238401912.35898,42829250834.64094,46075097668.785,47530529151.75222,52924624145.57292
Bangladesh,87651674864.99678,93774014162.94452,101131176158.58656,108406129565.29062,115028248980.54099,123454720128.5767,131401130450.1221,139668565007.35504,148552643774.2584,157681504550.44165,169789495951.43265,182429694022.05753,192374658643.2348,205469037587.36633,222039275911.52737,243969484011.71936,268277029977.08514,294975655367.639,318712532762.2372,336937842800.93097,359986214411.13873,391220073587.4123,443598789939.63324,480218563286.7701,520423230999.2641,555570050290.6343,728388162627.0819,781590411613.3994,858837220215.1897,943103027726.5105,987379950248.5579,1099767213458.9814
Bulgaria,65797993936.65249,62278330662.307945,59065261518.59516,59570292315.18653,61948491652.54968,65053238123.52316,57260138653.63657,47798043632.7839,51007564201.24722,47685758137.23794,52468510708.671684,55735446319.014984,61023649905.01581,65444800367.9274,71006719143.56795,78821833750.45988,86713356360.42458,96666032169.88022,107411216119.7133,105570797722.54616,110612181615.06673,115714748426.25815,119289608551.24406,120942415882.87717,127263488552.67944,132017089872.0206,143086431967.2807,151920196034.54358,161688888347.1913,170889592876.08267,170330179348.30542,184244160873.50742
Bahrain,13313767889.951855,15309705679.448244,16706160236.20941,19303201194.10083,19666117520.742893,20867579696.491417,22123020634.47932,23200581590.537914,24585528466.96316,26004071347.13686,28002664526.83857,29346798120.21628,30802185154.665108,33387815395.360584,36677438753.2954,40388126701.983315,44326828395.85363,49300579352.84288,53384007743.85567,55090758632.402626,58169329411.66963,60555691596.74357,65875368137.94273,67716644746.86253,68275971746.103935,62523275420.36795,63831285346.30792,71282082008.27292,74525827683.01569,77502717906.4679,74565280474.15027,79392034653.17863
"Bahamas, The",5501991400.884887,5450193386.272826,5361145225.592496,5505115667.844279,5799726448.163264,6180621795.128485,6559607002.915989,7131521960.359594,6886999687.983225,7835934751.556048,8345958865.266922,8758020182.528181,9135084086.487991,9197578689.35066,9527849444.763233,10160265552.10515,10737378438.045961,11187098375.453926,11136741042.680422,10740093108.92271,11036376383.436924,11334782601.582218,11713379202.210495,11696357438.929941,12359296821.023317,12668729965.465063,12806342894.308916,13709238137.587698,14293767377.604021,14825323453.480272,11429658542.68542,13537883107.84044
Bosnia and Herzegovina,,,,,3548331301.0879464,4376265344.42543,8420696882.858108,11511684609.589865,13457287424.05283,14957037352.817476,17248489117.28027,17996031703.339874,19535776808.506004,20548203148.630466,22394548750.304474,24398017490.047123,27916911841.139706,30841702519.56463,33896691639.75673,33730478146.055714,34639788739.86694,36525658671.50075,37145719784.77246,39027209595.23596,39811581008.901924,41189243040.00171,44265804797.400276,46096455492.73742,49587985446.7969,51862764232.063736,51175564234.242874,54977717993.09863
Belarus,53250955635.66856,54391157109.12129,50290136477.08655,47569536599.138626,42900860180.70419,39245201757.54109,41082756176.58682,46555399157.80623,51034060777.16335,53512859527.81496,57899283447.31804,62001283966.73347,66144476953.71646,72200530511.32463,82627376602.63768,93228959084.01222,105716172540.6301,117910480784.17293,132429460433.45724,133544823623.4811,145689092567.2,156715098657.89905,171037674358.34375,179366145726.60507,179597949624.11655,171204463522.2015,168421837005.77927,173630155305.78598,183376785383.06238,189270070621.41992,189827258189.31494,202671495340.37045
Belize,623815019.245061,718843782.606956,823881474.7700337,896340840.9297533,916931835.6778773,942192408.2899721,973155177.0974642,1025026389.6672019,1075336201.937046,1186222743.75312,1371037312.1877506,1472146993.6708333,1571663474.709857,1752306164.4215078,1883019019.7293732,1984754039.9225636,2139241832.5463367,2222684463.8829117,2327724351.9257483,2349667528.574706,2457006690.498974,2548273054.708026,2471868170.3780556,2502348205.657324,2554555740.7007513,2630697755.8834295,2677439217.5002146,2683373621.0370216,2803657514.0348835,2909884172.2153735,2451671311.339882,2802598957.5174985
Bermuda,2068741981.2392728,2063112005.0724757,2108867924.4370143,2223805865.2706227,2284912522.6697464,2435449296.313689,2544534462.584177,2707480241.1979384,2844734029.458054,2982406330.887874,3334145031.7688403,3655493461.7275906,3657603009.025976,3857001614.388178,4052473975.9606705,4249526752.5249887,4623506775.375744,4907300837.684775,4908095298.742144,4661620197.825173,4599566292.569369,4519405326.599299,4370872662.28833,4484628779.926499,4479895049.924156,4688793778.807884,4929475866.99318,5227044136.511533,5328755616.198178,5440684022.161402,5128888009.403064,5440977856.090423
Bolivia,16283841547.863102,17721116844.62874,18423392428.3864,19665282457.419746,21022650005.114292,22467594792.264454,23876799317.353123,25491843210.62249,27075267754.702713,27574030464.429707,28905904150.20056,30054823271.658207,31281912250.369083,32764190064.686016,35047766275.684235,37745009268.3395,40776162791.129684,43789629088.7436,47373527751.88635,49277693034.80206,51927900991.651764,55765337777.577415,61452959663.3131,69841188342.19107,75554052859.35841,77543289209.09616,82736157903.07323,94285208501.69104,100615081213.43747,104685033394.05457,96689230653.43451,106855999487.86028
Brazil,997366926074.8533,1041738357708.3912,1059681669176.9556,1138222746879.0178,1230569918679.3545,1309440382663.435,1362869157923.7722,1433436057306.6938,1454470819924.7876,1481869627113.3777,1581938922683.9,1640061928833.084,1716481965939.5803,1770327038985.7913,1922557348338.6765,2046338691519.8052,2193057535019.4163,2389038740932.391,2558895374192.605,2572056702792.115,2798924733572.4067,2970630762099.602,2998534424980.6606,3133893649534.7837,3187155079572.03,3014754849735.8706,2939094210373.6953,3018705988834.8813,3145953189874.1353,3241317399249.4893,3153147446348.3374,3435882150019.2935
Barbados,2497441049.290344,2481206912.7452626,2393289367.899195,2469448765.6489177,2572897552.4833117,2679753339.488751,2837329617.389739,3023068973.281105,3171077315.060719,3226526908.056368,3446366012.2429914,3440651777.2914762,3521789394.8769355,3669423347.2467237,3821113629.614264,4096819123.8486867,4481383801.497582,4698118025.005098,4818874134.925971,4606412344.537909,4551513239.428522,4614125864.651537,4343539147.963054,4359831112.426165,4322217288.02397,4434706830.918783,4561691902.301914,4522539648.526118,4583021077.79282,4636528984.276143,4036347784.4937367,4262929980.0985975
Brunei Darussalam,14450109617.413094,15408743061.397436,16509841818.348766,16952657548.741692,17859283753.2782,19050412632.82058,19957590746.676857,20003072179.758907,20115237016.85342,21021308134.48654,22110111947.695248,23228621563.644283,24504099645.93526,25713344431.53878,26536753668.76127,27474956035.506516,29568272358.027924,30414305194.012215,30396365593.860924,30051400072.85215,31202967176.639923,33044207206.125053,35209872643.72301,33885246844.18473,33344140243.09643,25948980972.915344,23633069098.530796,25891019749.56144,26523407039.675205,28042411244.75361,28702100627.91639,29414804856.2056
Bhutan,826885271.8623412,851361840.6715944,910826502.023136,950937386.7605337,1019335107.9880508,1114330567.6163962,1197883488.755568,1284022547.5918152,1375266837.39962,1505995818.209675,1591786776.9851222,1763540646.7638955,1987900605.0624888,2185722604.10008,2379256306.922643,2632684903.756453,2903885772.487621,3529951568.932693,3770321645.2073793,4050552394.286508,4588921536.664133,5058193225.035617,5551018263.983959,5674556893.994397,6231640988.167104,6915381146.160748,7703914681.555422,8307416844.227308,8765747674.515648,9436049420.152615,8587507955.35506,
Botswana,7035483673.603329,7815909227.506705,8227218171.260157,8583610143.730216,9084962603.572054,9927568515.733297,10698693357.31379,11789307083.294348,11974893200.761219,13317602945.825361,13890030225.903925,14238554923.34482,15338149797.61251,16364393293.273235,17258358017.86053,18610612176.155117,20789454846.06099,23118491672.739876,25033431843.31063,23265970593.41268,25561935548.179745,27671240752.478043,26701761151.385525,29222392064.03236,32797318372.149433,31046345793.220413,35937956386.50532,35166622661.94797,37439968408.219574,39385921294.907974,36382213328.79213,42200357919.08764
Central African Republic,1781544257.6991897,1831615144.5749986,1753010156.0526752,1800579181.3785043,1929140675.406742,2111404422.0817986,2064059017.5137897,2210932525.926248,2340903900.006775,2459352225.463298,2452459053.479694,2619674574.4228168,2756721239.360775,2659397659.601885,2894494248.062115,3012372945.017328,3253479785.99681,3495362385.017333,3635577476.734565,3973077426.842779,4207022668.799548,4474567487.041142,4889047036.926616,3284695704.6642933,3215650000.896818,3536183568.042475,3861897992.3514175,4195263790.8298717,4458264236.252936,4678688206.905819,4777693076.283732,5021009903.681716
Canada,,,,,,,,755390170461.4077,793674327704.2878,846412945809.9949,900996986801.0645,937786776176.9294,971003788233.1313,1023682523002.9192,1083609294356.4417,1171326187910.1287,1241594039979.5913,1301593351698.17,1342395839240.4343,1307000908301.476,1363577286343.324,1430806739876.6357,1468097961846.5908,1554125000000.0,1621395561291.9165,1594851775821.647,1678092366067.5369,1765762548007.7603,1852985933143.4768,1853711000627.976,1771473892248.8325,1992049900005.2593
Central Europe and the Baltics,785640204788.976,734437205711.4014,736593716767.9377,765684773007.6046,813879018965.9421,878093244200.743,920948886053.0526,952765519073.0886,993859825503.1235,1024880687966.7706,1086143772400.6014,1162588835233.105,1243986168624.4207,1315747974582.2607,1433672338383.2656,1517695035445.235,1683968584606.3584,1871345634502.3127,2065494805931.0918,2064386412894.0767,2172912840012.5986,2311350126997.9863,2387968429638.5986,2485411302264.83,2585785929327.0015,2699167747965.7163,2870963962801.294,3072061486735.745,3273941244080.603,3458482028838.076,3449075040051.101,3752456821384.167
Switzerland,191193236430.01727,195848715687.20987,200224296291.47745,204712100849.82205,211738482724.21463,217217870076.85193,223004397318.79077,232310959374.4288,241065489560.28955,248740021832.2687,264184231312.5424,273987586086.8307,282753110962.9422,285053270982.8136,298070936029.30835,310493723866.73846,348024846014.1302,386678345599.46533,413714805073.37665,413164395107.14514,429262364074.6435,458820195091.51355,479280657897.06903,503360260789.332,524917052399.0042,546805476343.83887,570267482220.7654,584052319305.9679,610138577242.8759,617711114452.1771,619632654690.6188,672543499596.2023
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,59789059114.20784,66729735171.165665,77021084269.31561,85199851653.67221,92908933315.40456,105559120796.17773,117483228547.69183,128677837054.13506,135213000111.83076,136620685313.38548,147067508588.74164,155745548885.80005,163157616320.49603,173772233140.4564,188890659576.41647,205184272361.17355,256070327750.92557,278373990855.26276,275754675658.2115,271327840689.36987,307855669989.43024,349147748338.7464,374316599654.07166,392670388758.78406,402902197372.1164,405499679728.34814,424831691025.8558,450891850914.8299,478093905183.91425,479916906216.1759,479607165872.11725,559157699738.2976
China,1114092362966.4255,1258454144971.5361,1470221827379.2043,1714031071645.1558,1978859523240.623,2241662924342.529,2509209954966.2686,2788246475636.246,3040855853521.214,3319971595766.316,3683441693969.142,4080387270262.512,4522477346527.11,5074660085618.605,5737893814909.688,6592135966884.006,7659999647309.109,8986556877182.307,10042810302711.223,11057126304048.523,12380164949405.973,13844365195917.523,15124538193948.217,16185063329894.834,17121277216284.469,17796747505545.598,18712096136720.254,19887033884256.707,21736535504587.04,23441908826406.926,24255795539863.395,27312548291585.766
