Year,Policy,Billion Metric Tons
2020,Business as Usual,5.12
2021,Business as Usual,5.05
2022,Business as Usual,5.04
2023,Business as Usual,5.01
2024,Business as Usual,4.99
2025,Business as Usual,4.98
2026,Business as Usual,4.96
2027,Business as Usual,4.94
2028,Business as Usual,4.93
2029,Business as Usual,4.92
2030,Business as Usual,4.9
2031,Business as Usual,4.88
2032,Business as Usual,4.86
2033,Business as Usual,4.85
2034,Business as Usual,4.84
2035,Business as Usual,4.83
2020,America Wins Act (Larson),4.02
2021,America Wins Act (Larson),3.84
2022,America Wins Act (Larson),3.72
2023,America Wins Act (Larson),3.59
2024,America Wins Act (Larson),3.47
2025,America Wins Act (Larson),3.37
2026,America Wins Act (Larson),3.27
2027,America Wins Act (Larson),3.17
2028,America Wins Act (Larson),3.08
2029,America Wins Act (Larson),3.0
2030,America Wins Act (Larson),2.92
2031,America Wins Act (Larson),2.83
2032,America Wins Act (Larson),2.75
2033,America Wins Act (Larson),2.68
2034,America Wins Act (Larson),2.61
2035,America Wins Act (Larson),2.54
2020,Americas Clean Future Fund Act (Durbin),5.12
2021,Americas Clean Future Fund Act (Durbin),5.05
2022,Americas Clean Future Fund Act (Durbin),4.46
2023,Americas Clean Future Fund Act (Durbin),4.15
2024,Americas Clean Future Fund Act (Durbin),3.89
2025,Americas Clean Future Fund Act (Durbin),3.66
2026,Americas Clean Future Fund Act (Durbin),3.47
2027,Americas Clean Future Fund Act (Durbin),3.29
2028,Americas Clean Future Fund Act (Durbin),3.15
2029,Americas Clean Future Fund Act (Durbin),3.01
2030,Americas Clean Future Fund Act (Durbin),2.89
2031,Americas Clean Future Fund Act (Durbin),2.77
2032,Americas Clean Future Fund Act (Durbin),2.67
2033,Americas Clean Future Fund Act (Durbin),2.57
2034,Americas Clean Future Fund Act (Durbin),2.49
2035,Americas Clean Future Fund Act (Durbin),2.41
2020,American Opportunity Carbon Fee Act (Whitehouse-Schatz),4.02
2021,American Opportunity Carbon Fee Act (Whitehouse-Schatz),3.84
2022,American Opportunity Carbon Fee Act (Whitehouse-Schatz),3.72
2023,American Opportunity Carbon Fee Act (Whitehouse-Schatz),3.59
2024,American Opportunity Carbon Fee Act (Whitehouse-Schatz),3.47
2025,American Opportunity Carbon Fee Act (Whitehouse-Schatz),3.37
2026,American Opportunity Carbon Fee Act (Whitehouse-Schatz),3.27
2027,American Opportunity Carbon Fee Act (Whitehouse-Schatz),3.17
2028,American Opportunity Carbon Fee Act (Whitehouse-Schatz),3.08
2029,American Opportunity Carbon Fee Act (Whitehouse-Schatz),3.0
2030,American Opportunity Carbon Fee Act (Whitehouse-Schatz),2.92
2031,American Opportunity Carbon Fee Act (Whitehouse-Schatz),2.83
2032,American Opportunity Carbon Fee Act (Whitehouse-Schatz),2.75
2033,American Opportunity Carbon Fee Act (Whitehouse-Schatz),2.68
2034,American Opportunity Carbon Fee Act (Whitehouse-Schatz),2.61
2035,American Opportunity Carbon Fee Act (Whitehouse-Schatz),2.54
2020,Climate Action Rebate Act (Coons-Feinstein),4.77
2021,Climate Action Rebate Act (Coons-Feinstein),4.25
2022,Climate Action Rebate Act (Coons-Feinstein),3.89
2023,Climate Action Rebate Act (Coons-Feinstein),3.58
2024,Climate Action Rebate Act (Coons-Feinstein),3.33
2025,Climate Action Rebate Act (Coons-Feinstein),3.12
2026,Climate Action Rebate Act (Coons-Feinstein),2.93
2027,Climate Action Rebate Act (Coons-Feinstein),2.76
2028,Climate Action Rebate Act (Coons-Feinstein),2.62
2029,Climate Action Rebate Act (Coons-Feinstein),2.49
2030,Climate Action Rebate Act (Coons-Feinstein),2.38
2031,Climate Action Rebate Act (Coons-Feinstein),2.27
2032,Climate Action Rebate Act (Coons-Feinstein),2.17
2033,Climate Action Rebate Act (Coons-Feinstein),2.08
2034,Climate Action Rebate Act (Coons-Feinstein),2.0
2035,Climate Action Rebate Act (Coons-Feinstein),1.93
2020,Consumers REBATE Act (McNerney),5.12
2021,Consumers REBATE Act (McNerney),4.47
2022,Consumers REBATE Act (McNerney),4.16
2023,Consumers REBATE Act (McNerney),3.89
2024,Consumers REBATE Act (McNerney),3.67
2025,Consumers REBATE Act (McNerney),3.47
2026,Consumers REBATE Act (McNerney),3.3
2027,Consumers REBATE Act (McNerney),3.14
2028,Consumers REBATE Act (McNerney),3.01
2029,Consumers REBATE Act (McNerney),2.88
2030,Consumers REBATE Act (McNerney),2.77
2031,Consumers REBATE Act (McNerney),2.66
