Year,Policy,$ Billions
2020,America Wins Act (Larson),209.156
2021,America Wins Act (Larson),211.833
2022,America Wins Act (Larson),217.1289
2023,America Wins Act (Larson),222.3655
2024,America Wins Act (Larson),228.0927
2025,America Wins Act (Larson),234.3303
2026,America Wins Act (Larson),240.9077
2027,America Wins Act (Larson),247.5639
2028,America Wins Act (Larson),255.3567
2029,America Wins Act (Larson),263.5303
2030,America Wins Act (Larson),271.5505
2031,America Wins Act (Larson),279.8201
2032,America Wins Act (Larson),288.1066
2033,America Wins Act (Larson),297.439
2034,America Wins Act (Larson),306.9361
2035,America Wins Act (Larson),317.1182
2020,Americas Clean Future Fund Act (Durbin),
2021,Americas Clean Future Fund Act (Durbin),
2022,Americas Clean Future Fund Act (Durbin),107.2284
2023,Americas Clean Future Fund Act (Durbin),141.1709
2024,Americas Clean Future Fund Act (Durbin),171.1093
2025,Americas Clean Future Fund Act (Durbin),197.9201
2026,Americas Clean Future Fund Act (Durbin),222.0694
2027,Americas Clean Future Fund Act (Durbin),243.7332
2028,Americas Clean Future Fund Act (Durbin),264.3053
2029,Americas Clean Future Fund Act (Durbin),283.3485
2030,Americas Clean Future Fund Act (Durbin),300.4831
2031,Americas Clean Future Fund Act (Durbin),316.3016
2032,Americas Clean Future Fund Act (Durbin),330.6886
2033,Americas Clean Future Fund Act (Durbin),344.9601
2034,Americas Clean Future Fund Act (Durbin),358.2242
2035,Americas Clean Future Fund Act (Durbin),371.1839
2020,American Opportunity Carbon Fee Act (Whitehouse-Schatz),209.156
2021,American Opportunity Carbon Fee Act (Whitehouse-Schatz),211.833
2022,American Opportunity Carbon Fee Act (Whitehouse-Schatz),217.1289
2023,American Opportunity Carbon Fee Act (Whitehouse-Schatz),222.3655
2024,American Opportunity Carbon Fee Act (Whitehouse-Schatz),228.0927
2025,American Opportunity Carbon Fee Act (Whitehouse-Schatz),234.3303
2026,American Opportunity Carbon Fee Act (Whitehouse-Schatz),240.9077
2027,American Opportunity Carbon Fee Act (Whitehouse-Schatz),247.5639
2028,American Opportunity Carbon Fee Act (Whitehouse-Schatz),255.3567
2029,American Opportunity Carbon Fee Act (Whitehouse-Schatz),263.5303
2030,American Opportunity Carbon Fee Act (Whitehouse-Schatz),271.5505
2031,American Opportunity Carbon Fee Act (Whitehouse-Schatz),279.8201
2032,American Opportunity Carbon Fee Act (Whitehouse-Schatz),288.1066
2033,American Opportunity Carbon Fee Act (Whitehouse-Schatz),297.439
2034,American Opportunity Carbon Fee Act (Whitehouse-Schatz),306.9361
2035,American Opportunity Carbon Fee Act (Whitehouse-Schatz),317.1182
2020,Climate Action Rebate Act (Coons-Feinstein),71.517
2021,Climate Action Rebate Act (Coons-Feinstein),127.4611
2022,Climate Action Rebate Act (Coons-Feinstein),174.8345
2023,Climate Action Rebate Act (Coons-Feinstein),214.9298
2024,Climate Action Rebate Act (Coons-Feinstein),249.7224
2025,Climate Action Rebate Act (Coons-Feinstein),280.3624
2026,Climate Action Rebate Act (Coons-Feinstein),307.4557
2027,Climate Action Rebate Act (Coons-Feinstein),331.2447
2028,Climate Action Rebate Act (Coons-Feinstein),353.6276
2029,Climate Action Rebate Act (Coons-Feinstein),374.0067
2030,Climate Action Rebate Act (Coons-Feinstein),391.9147
2031,Climate Action Rebate Act (Coons-Feinstein),408.1696
2032,Climate Action Rebate Act (Coons-Feinstein),422.6554
2033,Climate Action Rebate Act (Coons-Feinstein),437.0769
2034,Climate Action Rebate Act (Coons-Feinstein),450.3086
2035,Climate Action Rebate Act (Coons-Feinstein),463.2523
2020,Consumers REBATE Act (McNerney),
2021,Consumers REBATE Act (McNerney),109.5282
2022,Consumers REBATE Act (McNerney),143.5821
2023,Consumers REBATE Act (McNerney),173.302
2024,Consumers REBATE Act (McNerney),199.8407
2025,Consumers REBATE Act (McNerney),223.8426
2026,Consumers REBATE Act (McNerney),245.6067
2027,Consumers REBATE Act (McNerney),265.1913
2028,Consumers REBATE Act (McNerney),284.0126
2029,Consumers REBATE Act (McNerney),301.5128
2030,Consumers REBATE Act (McNerney),317.244
2031,Consumers REBATE Act (McNerney),331.8049
2032,Consumers REBATE Act (McNerney),345.0484
2033,Consumers REBATE Act (McNerney),358.3246
2034,Consumers REBATE Act (McNerney),370.6816
2035,Consumers REBATE Act (McNerney),382.8326
2020,Energy Innovation and Carbon Dividend Act (Deutch et al.),71.0826
2021,Energy Innovation and Carbon Dividend Act (Deutch et al.),108.4738
2022,Energy Innovation and Carbon Dividend Act (Deutch et al.),141.7758
2023,Energy Innovation and Carbon Dividend Act (Deutch et al.),170.9478
2024,Energy Innovation and Carbon Dividend Act (Deutch et al.),197.0678
2025,Energy Innovation and Carbon Dividend Act (Deutch et al.),220.7362
2026,Energy Innovation and Carbon Dividend Act (Deutch et al.),242.2264
2027,Energy Innovation and Carbon Dividend Act (Deutch et al.),261.5831
2028,Energy Innovation and Carbon Dividend Act (Deutch et al.),280.195
2029,Energy Innovation and Carbon Dividend Act (Deutch et al.),297.5069
2030,Energy Innovation and Carbon Dividend Act (Deutch et al.),313.0738
2031,Energy Innovation and Carbon Dividend Act (Deutch et al.),327.4842
2032,Energy Innovation and Carbon Dividend Act (Deutch et al.),340.5918
